day	month	year	AccumulationFinal
9	11	2015	0.0
9	12	2012	20.999999999999996
9	12	2013	571.6000000000001
9	12	2015	0.8
10	1	2013	0.0
10	1	2014	4.600000000000001
10	1	2016	15.000000000000002
10	2	2013	17.400000000000002
10	2	2014	0.0
10	2	2016	0.2
10	3	2013	0.0
10	3	2014	498.2000000000001
10	3	2016	3.0
10	4	2014	34.800000000000004
10	4	2015	60.4
10	4	2016	0.2
10	5	2013	9.600000000000001
10	5	2014	0.0
10	5	2015	0.4
10	5	2016	0.6
10	6	2010	0.2
10	6	2013	24.399999999999984
10	6	2014	0.0
10	6	2015	6.8
10	7	2010	0.0
10	7	2013	0.8
10	7	2015	0.0
10	8	2013	0.0
10	8	2015	20.799999999999997
10	9	2013	0.0
10	9	2015	0.0
10	10	2012	3.8000000000000007
10	10	2013	0.0
10	10	2015	0.0
10	11	2012	0.2
10	11	2013	2.4000000000000004
10	11	2015	8.200000000000003
10	12	2012	2.4
10	12	2013	241.19999999999996
10	12	2015	0.2
11	1	2013	5.800000000000001
11	1	2014	84.99999999999999
11	1	2016	216.99999999999997
11	2	2013	4412.5999999999985
11	2	2014	0.0
11	2	2016	0.0
11	3	2013	16.0
11	3	2014	0.6
11	3	2016	0.0
11	4	2014	2.4
11	4	2015	0.0
11	4	2016	11.6
11	5	2013	0.8
11	5	2014	0.0
11	5	2015	13.199999999999998
11	5	2016	0.0
11	6	2010	0.0
11	6	2013	3.8000000000000003
11	6	2014	3.8
11	6	2015	0.0
11	7	2010	54.4
11	7	2013	0.0
11	7	2015	0.0
11	8	2013	0.0
11	8	2015	0.0
11	9	2013	15.2
11	9	2015	7.8
11	10	2012	12.999999999999996
11	10	2013	0.0
11	10	2015	4.0
11	11	2012	1.0
11	11	2013	2.6
11	11	2015	0.8
11	12	2012	0.0
11	12	2013	267.2
11	12	2015	80.6
12	1	2013	0.2
12	1	2014	185.00000000000006
12	1	2016	180.19999999999996
12	2	2013	1674.7999999999997
12	2	2014	0.0
12	2	2016	75.2
12	3	2013	13.0
12	3	2014	1428.2
12	3	2016	0.2
12	4	2014	4.200000000000001
12	4	2015	0.0
12	4	2016	0.2
12	5	2013	2.4000000000000004
12	5	2014	0.0
12	5	2015	6.000000000000001
12	5	2016	2.2
12	6	2010	8.399999999999999
12	6	2013	0.0
12	6	2014	0.6000000000000001
12	6	2015	20.000000000000004
12	7	2010	1.0
12	7	2013	0.0
12	7	2015	0.0
12	8	2013	0.0
12	8	2015	0.0
12	9	2013	0.8
12	9	2015	2.8000000000000007
12	10	2012	0.2
12	10	2013	0.0
12	10	2015	0.0
12	11	2012	11.999999999999995
12	11	2013	0.2
12	11	2015	62.599999999999994
12	12	2012	0.4
12	12	2013	811.5999999999999
12	12	2015	0.0
13	1	2013	21.999999999999993
13	1	2014	13.399999999999997
13	1	2016	112.4
13	2	2013	0.0
13	2	2014	0.0
13	2	2016	0.0
13	3	2013	18.999999999999996
13	3	2014	60.400000000000006
13	3	2016	0.0
13	4	2014	5.200000000000001
13	4	2015	22.799999999999997
13	4	2016	0.0
13	5	2013	0.0
13	5	2014	18.199999999999996
13	5	2015	0.0
13	5	2016	8.600000000000001
13	6	2010	0.0
13	6	2013	4.000000000000001
13	6	2014	0.2
13	6	2015	0.0
13	7	2010	0.0
13	7	2013	0.0
13	7	2015	1.0
13	8	2013	0.0
13	8	2015	0.0
13	9	2013	0.0
13	9	2015	0.0
13	10	2012	8.8
13	10	2013	7.8
13	10	2015	5.000000000000001
13	11	2012	0.0
13	11	2013	5.6
13	11	2015	13.199999999999998
13	12	2012	0.0
13	12	2013	97.6
13	12	2015	0.6000000000000001
14	1	2013	2.4000000000000004
14	1	2014	0.0
14	1	2016	0.0
14	2	2013	0.4
14	2	2014	26.0
14	2	2016	0.0
14	3	2013	0.0
14	3	2014	5393.4
14	3	2016	7.000000000000002
14	4	2014	7.000000000000002
14	4	2015	0.0
14	4	2016	0.0
14	5	2013	0.0
14	5	2014	12.0
14	5	2015	0.0
14	5	2016	5.400000000000002
14	6	2010	0.0
14	6	2013	0.0
